ICD10,number
O640XX9,24344
O641XX0,24345
O641XX1,24346
O641XX2,24347
O641XX3,24348
O641XX4,24349
O641XX5,24350
O641XX9,24351
O642XX0,24352
O642XX1,24353
O642XX2,24354
O642XX3,24355
O642XX4,24356
O642XX5,24357
O642XX9,24358
O643XX0,24359
O643XX1,24360
O643XX2,24361
O643XX3,24362
O643XX4,24363
O643XX5,24364
O643XX9,24365
O644XX0,24366
O644XX1,24367
O644XX2,24368
O644XX3,24369
O644XX4,24370
O644XX5,24371
O644XX9,24372
O645XX0,24373
O645XX1,24374
O645XX2,24375
O645XX3,24376
O645XX4,24377
O645XX5,24378
O645XX9,24379
O648XX0,24380
unspecified,24381
O648XX1,24382
O648XX2,24383
O648XX3,24384
O648XX4,24385
O648XX5,24386
O648XX9,24387
O649XX0,24388
unspecified,24389
O649XX1,24390
O649XX2,24391
O649XX3,24392
O649XX4,24393
O649XX5,24394
O649XX9,24395
O650,24396
O651,24397
O652,24398
O653,24399
contraction,24400
O654,24401
O655,24402
organs,24403
O658,24404
O659,24405
O660,24406
O661,24407
O662,24408
O663,24409
O6640,24410
O6641,24411
O665,24412
O666,24413
O668,24414
O669,24415
O670,24416
O678,24417
O679,24418
O68,24419
fetal,24420
O690XX0,24421
unspecified,24422
O690XX1,24423
O690XX2,24424
O690XX3,24425
O690XX4,24426
O690XX5,24427
O690XX9,24428
O691XX0,24429
applicable,24430
O691XX1,24431
1,24432
O691XX2,24433
2,24434
O691XX3,24435
3,24436
O691XX4,24437
4,24438
O691XX5,24439
5,24440
O691XX9,24441
fetus,24442
O692XX0,24443
applicable,24444
O692XX1,24445
1,24446
O692XX2,24447
2,24448
O692XX3,24449
3,24450
O692XX4,24451
4,24452
O692XX5,24453
5,24454
O692XX9,24455
fetus,24456
O693XX0,24457
O693XX1,24458
O693XX2,24459
O693XX3,24460
O693XX4,24461
O693XX5,24462
O693XX9,24463
O694XX0,24464
O694XX1,24465
O694XX2,24466
O694XX3,24467
O694XX4,24468
O694XX5,24469
O694XX9,24470
O695XX0,24471
or,24472
O695XX1,24473
O695XX2,24474
O695XX3,24475
O695XX4,24476
O695XX5,24477
O695XX9,24478
O6981X0,24479
applicable,24480
O6981X1,24481
1,24482
O6981X2,24483
2,24484
O6981X3,24485
3,24486
O6981X4,24487
4,24488
O6981X5,24489
5,24490
O6981X9,24491
fetus,24492
O6982X0,24493
applicable,24494
O6982X1,24495
1,24496
O6982X2,24497
2,24498
O6982X3,24499
3,24500
O6982X4,24501
4,24502
O6982X5,24503
5,24504
O6982X9,24505
fetus,24506
O6989X0,24507
unspecified,24508
O6989X1,24509
O6989X2,24510
O6989X3,24511
O6989X4,24512
O6989X5,24513
O6989X9,24514
O699XX0,24515
unspecified,24516
O699XX1,24517
O699XX2,24518
O699XX3,24519
O699XX4,24520
O699XX5,24521
O699XX9,24522
O700,24523
O701,24524
O7020,24525
O7021,24526
O7022,24527
O7023,24528
O703,24529
O704,24530
third,24531
O709,24532
O7100,24533
O7102,24534
O7103,24535
O711,24536
O712,24537
O713,24538
O714,24539
O715,24540
O716,24541
O717,24542
O7181,24543
O7182,24544
O7189,24545
O719,24546
O720,24547
O721,24548
O722,24549
O723,24550
O730,24551
O731,24552
O740,24553
delivery,24554
O741,24555
delivery,24556
O742,24557
O743,24558
and,24559
O744,24560
delivery,24561
O745,24562
delivery,24563
O746,24564
labor,24565
O747,24566
and,24567
O748,24568
O749,24569
O750,24570
O751,24571
O752,24572
O753,24573
O754,24574
O755,24575
O7581,24576
O7582,24577
gestation,24578
section,24579
O7589,24580
O759,24581
O76,24582
complicating,24583
O770,24584
fluid,24585
O771,24586
drug,24587
O778,24588
fetal,24589
O779,24590
O80,24591
O82,24592
O85,24593
O8600,24594
O8601,24595
O8602,24596
O8603,24597
O8604,24598
O8609,24599
O8611,24600
O8612,24601
O8613,24602
O8619,24603
O8620,24604
O8621,24605
O8622,24606
O8629,24607
O864,24608
O8681,24609
O8689,24610
O870,24611
O871,24612
O872,24613
O873,24614
O874,24615
O878,24616
O879,24617
O88011,24618
O88012,24619
O88013,24620
O88019,24621
O8802,24622
O8803,24623
O88111,24624
O88112,24625
O88113,24626
O88119,24627
O8812,24628
O8813,24629
O88211,24630
O88212,24631
O88213,24632
O88219,24633
O8822,24634
O8823,24635
O88311,24636
O88312,24637
O88313,24638
O88319,24639
O8832,24640
O8833,24641
O88811,24642
O88812,24643
O88813,24644
O88819,24645
O8882,24646
O8883,24647
O8901,24648
O8909,24649
O891,24650
O892,24651
puerperium,24652
O893,24653
O894,24654
O895,24655
the,24656
O896,24657
puerperium,24658
O898,24659
O899,24660
O900,24661
O901,24662
O902,24663
O903,24664
O904,24665
O905,24666
O906,24667
O9081,24668
O9089,24669
O909,24670
O91011,24671
O91012,24672
O91013,24673
O91019,24674
O9102,24675
O9103,24676
O91111,24677
O91112,24678
O91113,24679
O91119,24680
O9112,24681
O9113,24682
O91211,24683
O91212,24684
O91213,24685
O91219,24686
O9122,24687
O9123,24688
O92011,24689
O92012,24690
O92013,24691
O92019,24692
O9202,24693
O9203,24694
O92111,24695
O92112,24696
O92113,24697
O92119,24698
O9212,24699
O9213,24700
O9220,24701
puerperium,24702
O9229,24703
puerperium,24704
O923,24705
O924,24706
O925,24707
O926,24708
O9270,24709
O9279,24710
O94,24711
the,24712
O98011,24713
O98012,24714
O98013,24715
O98019,24716
O9802,24717
O9803,24718
O98111,24719
O98112,24720
O98113,24721
O98119,24722
O9812,24723
O9813,24724
O98211,24725
O98212,24726
O98213,24727
O98219,24728
O9822,24729
O9823,24730
O98311,24731
"pregnancy,",24732
O98312,24733
"pregnancy,",24734
O98313,24735
"pregnancy,",24736
O98319,24737
"pregnancy,",24738
O9832,24739
complicating,24740
O9833,24741
complicating,24742
O98411,24743
O98412,24744
O98413,24745
O98419,24746
O9842,24747
O9843,24748
O98511,24749
O98512,24750
O98513,24751
O98519,24752
O9852,24753
O9853,24754
O98611,24755
O98612,24756
O98613,24757
O98619,24758
O9862,24759
O9863,24760
O98711,24761
O98712,24762
O98713,24763
O98719,24764
O9872,24765
O9873,24766
O98811,24767
O98812,24768
O98813,24769
O98819,24770
O9882,24771
O9883,24772
O98911,24773
O98912,24774
O98913,24775
O98919,24776
O9892,24777
O9893,24778
O99011,24779
O99012,24780
O99013,24781
O99019,24782
O9902,24783
O9903,24784
O99111,24785
disorders,24786
O99112,24787
disorders,24788
O99113,24789
disorders,24790
O99119,24791
disorders,24792
O9912,24793
certain,24794
O9913,24795
certain,24796
O99210,24797
O99211,24798
O99212,24799
O99213,24800
O99214,24801
O99215,24802
O99280,24803
O99281,24804
O99282,24805
O99283,24806
O99284,24807
O99285,24808
O99310,24809
O99311,24810
O99312,24811
O99313,24812
O99314,24813
O99315,24814
O99320,24815
O99321,24816
O99322,24817
O99323,24818
O99324,24819
O99325,24820
O99330,24821
O99331,24822
O99332,24823
O99333,24824
O99334,24825
O99335,24826
O99340,24827
O99341,24828
O99342,24829
O99343,24830
O99344,24831
O99345,24832
O99350,24833
O99351,24834
O99352,24835
O99353,24836
O99354,24837
O99355,24838
O99411,24839
O99412,24840
O99413,24841
O99419,24842
O9942,24843
O9943,24844
O99511,24845
O99512,24846
O99513,24847
O99519,24848
O9952,24849
O9953,24850
O99611,24851
O99612,24852
O99613,24853
O99619,24854
O9962,24855
O9963,24856
O99711,24857
trimester,24858
O99712,24859
trimester,24860
O99713,24861
trimester,24862
O99719,24863
trimester,24864
O9972,24865
O9973,24866
puerperium,24867
O99810,24868
O99814,24869
O99815,24870
O99820,24871
O99824,24872
O99825,24873
O99830,24874
O99834,24875
O99835,24876
O99840,24877
O99841,24878
O99842,24879
O99843,24880
O99844,24881
O99845,24882
O99891,24883
O99892,24884
O99893,24885
O9A111,24886
O9A112,24887
O9A113,24888
O9A119,24889
O9A12,24890
O9A13,24891
O9A211,24892
"pregnancy,",24893
O9A212,24894
"pregnancy,",24895
O9A213,24896
"pregnancy,",24897
O9A219,24898
"pregnancy,",24899
O9A22,24900
complicating,24901
O9A23,24902
complicating,24903
O9A311,24904
O9A312,24905
O9A313,24906
O9A319,24907
O9A32,24908
O9A33,24909
O9A411,24910
O9A412,24911
O9A413,24912
O9A419,24913
O9A42,24914
O9A43,24915
O9A511,24916
O9A512,24917
O9A513,24918
O9A519,24919
O9A52,24920
O9A53,24921
P000,24922
P001,24923
diseases,24924
P002,24925
P003,24926
diseases,24927
P004,24928
P005,24929
P006,24930
P007,24931
not,24932
P0081,24933
P0082,24934
colonization,24935
P0089,24936
P009,24937
P010,24938
P011,24939
P012,24940
P013,24941
P014,24942
P015,24943
P016,24944
P017,24945
P018,24946
P019,24947
P020,24948
P021,24949
and,24950
P0220,24951
placenta,24952
P0229,24953
placenta,24954
P023,24955
P024,24956
P025,24957
P0260,24958
P0269,24959
P0270,24960
P0278,24961
P028,24962
P029,24963
P030,24964
P031,24965
during,24966
P032,24967
P033,24968
P034,24969
P035,24970
P036,24971
P03810,24972
rhythm,24973
P03811,24974
rhythm,24975
P03819,24976
"rhythm,",24977
P0382,24978
P0389,24979
delivery,24980
P039,24981
unspecified,24982
P040,24983
"pregnancy,",24984
P0411,24985
P0412,24986
P0413,24987
P0414,24988
P0415,24989
P0416,24990
P0417,24991
P041A,24992
P0418,24993
P0419,24994
P042,24995
P043,24996
P0440,24997
addiction,24998
P0441,24999
P0442,25000
P0449,25001
addiction,25002
P045,25003
substances,25004
P046,25005
substances,25006
P0481,25007
P0489,25008
P049,25009
P0500,25010
P0501,25011
P0502,25012
P0503,25013
P0504,25014
P0505,25015
P0506,25016
P0507,25017
P0508,25018
P0509,25019
P0510,25020
P0511,25021
P0512,25022
P0513,25023
P0514,25024
P0515,25025
P0516,25026
P0517,25027
P0518,25028
P0519,25029
P052,25030
or,25031
P059,25032
P0700,25033
P0701,25034
P0702,25035
P0703,25036
P0710,25037
P0714,25038
P0715,25039
P0716,25040
P0717,25041
P0718,25042
P0720,25043
P0721,25044
completed,25045
P0722,25046
P0723,25047
P0724,25048
P0725,25049
P0726,25050
P0730,25051
P0731,25052
P0732,25053
P0733,25054
P0734,25055
P0735,25056
P0736,25057
P0737,25058
P0738,25059
P0739,25060
P080,25061
P081,25062
P0821,25063
P0822,25064
P091,25065
of,25066
P092,25067
disease,25068
P093,25069
disorders,25070
P094,25071
P095,25072
heart,25073
P096,25074
loss,25075
P098,25076
P099,25077
P100,25078
P101,25079
P102,25080
P103,25081
P104,25082
P108,25083
injury,25084
P109,25085
injury,25086
P110,25087
P111,25088
P112,25089
P113,25090
P114,25091
P115,25092
P119,25093
P120,25094
P121,25095
P122,25096
P123,25097
P124,25098
equipment,25099
P1281,25100
P1289,25101
P129,25102
P130,25103
P131,25104
P132,25105
P133,25106
P134,25107
P138,25108
P139,25109
P140,25110
P141,25111
P142,25112
P143,25113
P148,25114
system,25115
P149,25116
P150,25117
P151,25118
P152,25119
P153,25120
P154,25121
P155,25122
P156,25123
P158,25124
P159,25125
P190,25126
of,25127
P191,25128
P192,25129
P199,25130
P220,25131
P221,25132
P228,25133
P229,25134
P230,25135
P231,25136
P232,25137
P233,25138
P234,25139
P235,25140
P236,25141
P238,25142
P239,25143
P2400,25144
P2401,25145
P2410,25146
respiratory,25147
P2411,25148
respiratory,25149
P2420,25150
P2421,25151
P2430,25152
symptoms,25153
P2431,25154
symptoms,25155
P2480,25156
P2481,25157
P249,25158
P250,25159
P251,25160
P252,25161
P253,25162
P258,25163
the,25164
P260,25165
P261,25166
P268,25167
P269,25168
P270,25169
P271,25170
P278,25171
period,25172
P279,25173
period,25174
P280,25175
P2810,25176
P2811,25177
P2819,25178
P282,25179
P283,25180
P284,25181
P285,25182
P2881,25183
P2889,25184
P289,25185
P290,25186
P2911,25187
P2912,25188
P292,25189
P2930,25190
P2938,25191
P294,25192
P2981,25193
P2989,25194
P299,25195
P350,25196
P351,25197
P352,25198
P353,25199
P354,25200
P358,25201
P359,25202
P360,25203
P3610,25204
P3619,25205
P362,25206
P3630,25207
P3639,25208
P364,25209
P365,25210
P368,25211
P369,25212
P370,25213
P371,25214
P372,25215
P373,25216
P374,25217
P375,25218
P378,25219
P379,25220
P381,25221
P389,25222
P390,25223
P391,25224
P392,25225
P393,25226
P394,25227
P398,25228
P399,25229
P500,25230
vasa,25231
P501,25232
ruptured,25233
P502,25234
placenta,25235
P503,25236
P504,25237
P505,25238
cut,25239
P508,25240
P509,25241
P510,25242
P518,25243
P519,25244
P520,25245
P521,25246
P5221,25247
P5222,25248
P523,25249
P524,25250
P525,25251
P526,25252
P528,25253
P529,25254
P53,25255
P540,25256
P541,25257
P542,25258
P543,25259
P544,25260
P545,25261
P546,25262
P548,25263
P549,25264
P550,25265
P551,25266
P558,25267
P559,25268
P560,25269
P5690,25270
P5699,25271
P570,25272
P578,25273
P579,25274
P580,25275
P581,25276
P582,25277
P583,25278
P5841,25279
mother,25280
P5842,25281
newborn,25282
P585,25283
P588,25284
P589,25285
P590,25286
P591,25287
P5920,25288
P5929,25289
P593,25290
P598,25291
P599,25292
P60,25293
P610,25294
P611,25295
P612,25296
P613,25297
P614,25298
P615,25299
P616,25300
P618,25301
P619,25302
P700,25303
P701,25304
P702,25305
P703,25306
P704,25307
P708,25308
P709,25309
P710,25310
P711,25311
P712,25312
P713,25313
P714,25314
P718,25315
metabolism,25316
P719,25317
unspecified,25318
P720,25319
P721,25320
P722,25321
elsewhere,25322
P728,25323
P729,25324
P740,25325
P741,25326
P7421,25327
P7422,25328
P7431,25329
P7432,25330
P7441,25331
P74421,25332
P74422,25333
P7449,25334
P745,25335
P746,25336
P748,25337
P749,25338
P760,25339
P761,25340
P762,25341
P768,25342
P769,25343
P771,25344
P772,25345
P773,25346
P779,25347
P780,25348
P781,25349
P782,25350
blood,25351
P783,25352
P7881,25353
P7882,25354
P7883,25355
P7884,25356
P7889,25357
P789,25358
P800,25359
P808,25360
P809,25361
P810,25362
P818,25363
P819,25364
P830,25365
P831,25366
P832,25367
P8330,25368
P8339,25369
P834,25370
P835,25371
P836,25372
P8381,25373
P8388,25374
P839,25375
P84,25376
P90,25377
P910,25378
P911,25379
P912,25380
P913,25381
P914,25382
P915,25383
P9160,25384
P9161,25385
P9162,25386
P9163,25387
P91811,25388
P91819,25389
P91821,25390
P91822,25391
P91823,25392
P91829,25393
P9188,25394
P919,25395
P9201,25396
P9209,25397
P921,25398
P922,25399
P923,25400
P924,25401
P925,25402
P926,25403
P928,25404
P929,25405
P930,25406
P938,25407
to,25408
P940,25409
P941,25410
P942,25411
P948,25412
P949,25413
P95,25414
P960,25415
P961,25416
of,25417
P962,25418
newborn,25419
P963,25420
P965,25421
P9681,25422
period,25423
P9682,25424
P9683,25425
P9689,25426
P969,25427
Q000,25428
Q001,25429
Q002,25430
Q010,25431
Q011,25432
Q012,25433
Q018,25434
Q019,25435
Q02,25436
Q030,25437
Q031,25438
Q038,25439
Q039,25440
Q040,25441
Q041,25442
Q042,25443
Q043,25444
Q044,25445
Q045,25446
Q046,25447
Q048,25448
Q049,25449
Q050,25450
Q051,25451
Q052,25452
Q053,25453
Q054,25454
Q055,25455
Q056,25456
Q057,25457
Q058,25458
Q059,25459
Q060,25460
Q061,25461
Q062,25462
Q063,25463
Q064,25464
Q068,25465
Q069,25466
Q0700,25467
Q0701,25468
Q0702,25469
Q0703,25470
Q078,25471
Q079,25472
Q100,25473
Q101,25474
Q102,25475
Q103,25476
Q104,25477
Q105,25478
Q106,25479
Q107,25480
Q110,25481
Q111,25482
Q112,25483
Q113,25484
Q120,25485
Q121,25486
Q122,25487
Q123,25488
Q124,25489
Q128,25490
Q129,25491
Q130,25492
Q131,25493
Q132,25494
Q133,25495
Q134,25496
Q135,25497
Q1381,25498
Q1389,25499
Q139,25500
Q140,25501
Q141,25502
Q142,25503
Q143,25504
Q148,25505
Q149,25506
Q150,25507
Q158,25508
Q159,25509
Q160,25510
Q161,25511
(external),25512
Q162,25513
Q163,25514
Q164,25515
Q165,25516
Q169,25517
unspecified,25518
Q170,25519
Q171,25520
Q172,25521
Q173,25522
Q174,25523
Q175,25524
Q178,25525
Q179,25526
Q180,25527
Q181,25528
Q182,25529
Q183,25530
Q184,25531
Q185,25532
Q186,25533
Q187,25534
Q188,25535
Q189,25536
Q200,25537
Q201,25538
Q202,25539
Q203,25540
Q204,25541
Q205,25542
Q206,25543
Q208,25544
Q209,25545
Q210,25546
Q211,25547
Q212,25548
Q213,25549
Q214,25550
Q218,25551
Q219,25552
Q220,25553
Q221,25554
Q222,25555
Q223,25556
Q224,25557
Q225,25558
Q226,25559
Q228,25560
Q229,25561
Q230,25562
Q231,25563
Q232,25564
Q233,25565
Q234,25566
Q238,25567
Q239,25568
Q240,25569
Q241,25570
Q242,25571
Q243,25572
Q244,25573
Q245,25574
Q246,25575
Q248,25576
Q249,25577
Q250,25578
Q251,25579
Q2521,25580
Q2529,25581
Q253,25582
Q2540,25583
Q2541,25584
Q2542,25585
Q2543,25586
Q2544,25587
Q2545,25588
Q2546,25589
Q2547,25590
Q2548,25591
Q2549,25592
Q255,25593
Q256,25594
Q2571,25595
Q2572,25596
Q2579,25597
Q258,25598
Q259,25599
Q260,25600
Q261,25601
Q262,25602
Q263,25603
Q264,25604
Q265,25605
Q266,25606
Q268,25607
Q269,25608
Q270,25609
Q271,25610
Q272,25611
Q2730,25612
Q2731,25613
Q2732,25614
Q2733,25615
Q2734,25616
Q2739,25617
Q274,25618
Q278,25619
Q279,25620
Q280,25621
Q281,25622
Q282,25623
Q283,25624
Q288,25625
Q289,25626
Q300,25627
Q301,25628
Q302,25629
Q303,25630
Q308,25631
Q309,25632
Q310,25633
Q311,25634
Q312,25635
Q313,25636
Q315,25637
Q318,25638
Q319,25639
Q320,25640
Q321,25641
Q322,25642
Q323,25643
Q324,25644
Q330,25645
Q331,25646
Q332,25647
Q333,25648
Q334,25649
Q335,25650
Q336,25651
Q338,25652
Q339,25653
Q340,25654
Q341,25655
Q348,25656
Q349,25657
Q351,25658
Q353,25659
Q355,25660
Q357,25661
Q359,25662
Q360,25663
Q361,25664
Q369,25665
Q370,25666
Q371,25667
Q372,25668
Q373,25669
Q374,25670
lip,25671
Q375,25672
lip,25673
Q378,25674
Q379,25675
Q380,25676
Q381,25677
Q382,25678
Q383,25679
Q384,25680
Q385,25681
Q386,25682
Q387,25683
Q388,25684
Q390,25685
Q391,25686
Q392,25687
Q393,25688
Q394,25689
Q395,25690
Q396,25691
Q398,25692
Q399,25693
Q400,25694
Q401,25695
Q402,25696
Q403,25697
Q408,25698
Q409,25699
Q410,25700
Q411,25701
Q412,25702
Q418,25703
parts,25704
Q419,25705
part,25706
Q420,25707
fistula,25708
Q421,25709
fistula,25710
Q422,25711
fistula,25712
Q423,25713
fistula,25714
Q428,25715
of,25716
Q429,25717
part,25718
Q430,25719
Q431,25720
Q432,25721
Q433,25722
Q434,25723
Q435,25724
Q436,25725
Q437,25726
Q438,25727
Q439,25728
Q440,25729
Q441,25730
Q442,25731
Q443,25732
Q444,25733
Q445,25734
Q446,25735
Q447,25736
Q450,25737
Q451,25738
Q452,25739
Q453,25740
Q458,25741
Q459,25742
Q5001,25743
Q5002,25744
Q501,25745
Q502,25746
Q5031,25747
Q5032,25748
Q5039,25749
Q504,25750
Q505,25751
Q506,25752
ligament,25753
Q510,25754
Q5110,25755
without,25756
Q5111,25757
with,25758
Q5121,25759
Q5122,25760
Q5128,25761
Q513,25762
Q514,25763
Q515,25764
Q516,25765
Q517,25766
tracts,25767
Q51810,25768
Q51811,25769
Q51818,25770
Q51820,25771
Q51821,25772
Q51828,25773
Q519,25774
Q520,25775
Q5210,25776
Q5211,25777
Q52120,25778
Q52121,25779
Q52122,25780
Q52123,25781
Q52124,25782
Q52129,25783
Q522,25784
Q523,25785
Q524,25786
Q525,25787
Q526,25788
Q5270,25789
Q5271,25790
Q5279,25791
Q528,25792
Q529,25793
Q5300,25794
Q5301,25795
Q5302,25796
Q5310,25797
Q53111,25798
Q53112,25799
Q5312,25800
Q5313,25801
Q5320,25802
Q53211,25803
Q53212,25804
Q5322,25805
Q5323,25806
Q539,25807
Q540,25808
Q541,25809
Q542,25810
Q543,25811
Q544,25812
Q548,25813
Q549,25814
Q550,25815
Q551,25816
Q5520,25817
Q5521,25818
Q5522,25819
Q5523,25820
Q5529,25821
Q553,25822
Q554,25823
vesicles,25824
Q555,25825
Q5561,25826
Q5562,25827
Q5563,25828
Q5564,25829
Q5569,25830
Q557,25831
Q558,25832
Q559,25833
Q560,25834
Q561,25835
Q562,25836
Q563,25837
Q564,25838
Q600,25839
Q601,25840
Q602,25841
Q603,25842
Q604,25843
Q605,25844
Q606,25845
Q6100,25846
Q6101,25847
Q6102,25848
Q6111,25849
Q6119,25850
Q612,25851
Q613,25852
Q614,25853
Q615,25854
Q618,25855
Q619,25856
Q620,25857
Q6210,25858
Q6211,25859
Q6212,25860
Q622,25861
Q6231,25862
Q6232,25863
Q6239,25864
Q624,25865
Q625,25866
Q6260,25867
Q6261,25868
Q6262,25869
Q6263,25870
Q6269,25871
Q627,25872
Q628,25873
Q630,25874
Q631,25875
Q632,25876
Q633,25877
Q638,25878
Q639,25879
Q640,25880
Q6410,25881
Q6411,25882
Q6412,25883
Q6419,25884
Q642,25885
Q6431,25886
Q6432,25887
Q6433,25888
Q6439,25889
Q644,25890
Q645,25891
Q646,25892
Q6470,25893
Q6471,25894
Q6472,25895
Q6473,25896
Q6474,25897
Q6475,25898
Q6479,25899
Q648,25900
Q649,25901
Q6500,25902
Q6501,25903
Q6502,25904
Q651,25905
Q652,25906
Q6530,25907
Q6531,25908
Q6532,25909
Q654,25910
Q655,25911
Q656,25912
Q6581,25913
Q6582,25914
Q6589,25915
Q659,25916
Q6600,25917
Q6601,25918
Q6602,25919
Q6610,25920
Q6611,25921
Q6612,25922
Q66211,25923
Q66212,25924
Q66219,25925
Q66221,25926
Q66222,25927
Q66229,25928
Q6630,25929
Q6631,25930
Q6632,25931
Q6640,25932
Q6641,25933
Q6642,25934
Q6650,25935
Q6651,25936
Q6652,25937
Q666,25938
Q6670,25939
Q6671,25940
Q6672,25941
Q6680,25942
Q6681,25943
Q6682,25944
Q6689,25945
Q6690,25946
Q6691,25947
Q6692,25948
Q670,25949
Q671,25950
Q672,25951
Q673,25952
Q674,25953
Q675,25954
Q676,25955
Q677,25956
Q678,25957
Q680,25958
Q681,25959
Q682,25960
Q683,25961
Q684,25962
Q685,25963
Q686,25964
Q688,25965
Q690,25966
Q691,25967
Q692,25968
Q699,25969
Q7000,25970
Q7001,25971
Q7002,25972
Q7003,25973
Q7010,25974
Q7011,25975
Q7012,25976
Q7013,25977
Q7020,25978
Q7021,25979
Q7022,25980
Q7023,25981
Q7030,25982
Q7031,25983
Q7032,25984
Q7033,25985
Q704,25986
Q709,25987
Q7100,25988
Q7101,25989
Q7102,25990
Q7103,25991
Q7110,25992
hand,25993
Q7111,25994
hand,25995
Q7112,25996
hand,25997
Q7113,25998
"present,",25999
Q7120,26000
limb,26001
Q7121,26002
limb,26003
Q7122,26004
limb,26005
Q7123,26006
Q7130,26007
Q7131,26008
Q7132,26009
Q7133,26010
Q7140,26011
Q7141,26012
Q7142,26013
Q7143,26014
Q7150,26015
Q7151,26016
Q7152,26017
Q7153,26018
Q7160,26019
Q7161,26020
Q7162,26021
Q7163,26022
Q71811,26023
Q71812,26024
Q71813,26025
Q71819,26026
Q71891,26027
Q71892,26028
Q71893,26029
Q71899,26030
Q7190,26031
Q7191,26032
Q7192,26033
Q7193,26034
Q7200,26035
Q7201,26036
Q7202,26037
Q7203,26038
Q7210,26039
foot,26040
Q7211,26041
foot,26042
Q7212,26043
foot,26044
Q7213,26045
"present,",26046
Q7220,26047
lower,26048
Q7221,26049
lower,26050
Q7222,26051
lower,26052
Q7223,26053
Q7230,26054
Q7231,26055
Q7232,26056
Q7233,26057
Q7240,26058
Q7241,26059
Q7242,26060
Q7243,26061
Q7250,26062
Q7251,26063
Q7252,26064
Q7253,26065
Q7260,26066
Q7261,26067
Q7262,26068
Q7263,26069
Q7270,26070
Q7271,26071
Q7272,26072
Q7273,26073
Q72811,26074
Q72812,26075
Q72813,26076
Q72819,26077
Q72891,26078
Q72892,26079
Q72893,26080
Q72899,26081
Q7290,26082
Q7291,26083
Q7292,26084
Q7293,26085
Q730,26086
Q731,26087
Q738,26088
Q740,26089
girdle,26090
Q741,26091
Q742,26092
girdle,26093
Q743,26094
Q748,26095
Q749,26096
Q750,26097
Q751,26098
Q752,26099
Q753,26100
Q754,26101
Q755,26102
Q758,26103
bones,26104
Q759,26105
Q760,26106
Q761,26107
Q762,26108
Q763,26109
Q76411,26110
Q76412,26111
Q76413,26112
Q76414,26113
Q76415,26114
Q76419,26115
Q76425,26116
Q76426,26117
Q76427,26118
Q76428,26119
Q76429,26120
Q7649,26121
Q765,26122
Q766,26123
Q767,26124
Q768,26125
Q769,26126
Q770,26127
Q771,26128
Q772,26129
Q773,26130
Q774,26131
Q775,26132
Q776,26133
Q777,26134
Q778,26135
bones,26136
Q779,26137
and,26138
Q780,26139
Q781,26140
Q782,26141
Q783,26142
Q784,26143
Q785,26144
Q786,26145
Q788,26146
Q789,26147
Q790,26148
Q791,26149
Q792,26150
Q793,26151
Q794,26152
Q7951,26153
Q7959,26154
Q7960,26155
Q7961,26156
Q7962,26157
Q7963,26158
Q7969,26159
Q798,26160
Q799,26161
Q800,26162
Q801,26163
Q802,26164
Q803,26165
Q804,26166
Q808,26167
Q809,26168
Q810,26169
Q811,26170
Q812,26171
Q818,26172
Q819,26173
Q820,26174
Q821,26175
Q822,26176
Q823,26177
Q824,26178
Q825,26179
Q826,26180
Q828,26181
Q829,26182
Q830,26183
Q831,26184
Q832,26185
Q833,26186
Q838,26187
Q839,26188
Q840,26189
Q841,26190
Q842,26191
Q843,26192
Q844,26193
Q845,26194
Q846,26195
Q848,26196
Q849,26197
Q8500,26198
Q8501,26199
Q8502,26200
Q8503,26201
Q8509,26202
Q851,26203
Q858,26204
Q859,26205
Q860,26206
Q861,26207
Q862,26208
Q868,26209
causes,26210
Q870,26211
Q8711,26212
Q8719,26213
Q872,26214
Q873,26215
Q8740,26216
Q87410,26217
Q87418,26218
Q8742,26219
Q8743,26220
Q875,26221
Q8781,26222
Q8782,26223
Q8789,26224
Q8901,26225
Q8909,26226
Q891,26227
Q892,26228
Q893,26229
Q894,26230
Q897,26231
Q898,26232
Q899,26233
Q900,26234
Q901,26235
Q902,26236
Q909,26237
Q910,26238
Q911,26239
Q912,26240
Q913,26241
Q914,26242
Q915,26243
Q916,26244
Q917,26245
Q920,26246
Q921,26247
Q922,26248
Q925,26249
Q9261,26250
Q9262,26251
Q927,26252
Q928,26253
Q929,26254
Q930,26255
Q931,26256
Q932,26257
Q933,26258
Q934,26259
Q9351,26260
Q9359,26261
Q937,26262
Q9381,26263
Q9382,26264
Q9388,26265
Q9389,26266
Q939,26267
Q950,26268
Q951,26269
Q952,26270
Q953,26271
Q955,26272
Q958,26273
Q959,26274
Q960,26275
Q961,26276
Q962,26277
iso,26278
Q963,26279
Q964,26280
chromosome,26281
Q968,26282
Q969,26283
Q970,26284
Q971,26285
Q972,26286
Q973,26287
Q978,26288
Q979,26289
Q980,26290
Q981,26291
chromosomes,26292
Q983,26293
Q984,26294
Q985,26295
Q986,26296
Q987,26297
Q988,26298
Q989,26299
Q990,26300
Q991,26301
Q992,26302
Q998,26303
Q999,26304
R000,26305
R001,26306
R002,26307
R008,26308
R009,26309
R010,26310
R011,26311
R012,26312
R030,26313
R031,26314
R040,26315
R041,26316
R042,26317
R0481,26318
R0489,26319
R049,26320
R051,26321
R052,26322
R053,26323
R054,26324
R058,26325
R059,26326
R0600,26327
R0601,26328
R0602,26329
R0603,26330
