ICD10,number
B0111,590
B0112,591
B012,592
B0181,593
B0189,594
B019,595
B020,596
B021,597
B0221,598
B0222,599
B0223,600
B0224,601
B0229,602
B0230,603
B0231,604
B0232,605
B0233,606
B0234,607
B0239,608
B027,609
B028,610
B029,611
B03,612
B04,613
B050,614
B051,615
B052,616
B053,617
B054,618
B0581,619
B0589,620
B059,621
B0600,622
B0601,623
B0602,624
B0609,625
B0681,626
B0682,627
B0689,628
B069,629
B070,630
B078,631
B079,632
B08010,633
B08011,634
B0802,635
B0803,636
B0804,637
B0809,638
B081,639
B0820,640
B0821,641
B0822,642
B083,643
B084,644
B085,645
B0860,646
B0861,647
B0862,648
B0869,649
B0870,650
B0871,651
B0872,652
B0879,653
B088,654
mucous,655
B09,656
mucous,657
B1001,658
B1009,659
B1081,660
B1082,661
B1089,662
B150,663
B159,664
B160,665
B161,666
B162,667
B169,668
coma,669
B170,670
B1710,671
B1711,672
B172,673
B178,674
B179,675
B180,676
B181,677
B182,678
B188,679
B189,680
B190,681
B1910,682
B1911,683
B1920,684
B1921,685
B199,686
B20,687
B250,688
B251,689
B252,690
B258,691
B259,692
B260,693
B261,694
B262,695
B263,696
B2681,697
B2682,698
B2683,699
B2684,700
B2685,701
B2689,702
B269,703
B2700,704
B2701,705
B2702,706
B2709,707
B2710,708
B2711,709
B2712,710
B2719,711
B2780,712
B2781,713
B2782,714
B2789,715
B2790,716
B2791,717
B2792,718
B2799,719
B300,720
B301,721
B302,722
B303,723
B308,724
B309,725
B330,726
B331,727
B3320,728
B3321,729
B3322,730
B3323,731
B3324,732
B333,733
B334,734
B338,735
B340,736
B341,737
B342,738
B343,739
B344,740
B348,741
B349,742
B350,743
B351,744
B352,745
B353,746
B354,747
B355,748
B356,749
B358,750
B359,751
B360,752
B361,753
B362,754
B363,755
B368,756
B369,757
B370,758
B371,759
B372,760
B373,761
B3741,762
B3742,763
B3749,764
B375,765
B376,766
B377,767
B3781,768
B3782,769
B3783,770
B3784,771
B3789,772
B379,773
B380,774
B381,775
B382,776
B383,777
B384,778
B387,779
B3881,780
B3889,781
B389,782
B390,783
B391,784
B392,785
B393,786
B394,787
B395,788
B399,789
B400,790
B401,791
B402,792
B403,793
B407,794
B4081,795
B4089,796
B409,797
B410,798
B417,799
B418,800
B419,801
B420,802
B421,803
B427,804
B4281,805
B4282,806
B4289,807
B429,808
B430,809
B431,810
B432,811
B438,812
B439,813
B440,814
B441,815
B442,816
B447,817
B4481,818
B4489,819
B449,820
B450,821
B451,822
B452,823
B453,824
B457,825
B458,826
B459,827
B460,828
B461,829
B462,830
B463,831
B464,832
B465,833
B468,834
B469,835
B470,836
B471,837
B479,838
B480,839
B481,840
B482,841
B483,842
B484,843
B488,844
B49,845
B500,846
B508,847
B509,848
B510,849
B518,850
B519,851
B520,852
B528,853
B529,854
B530,855
B531,856
B538,857
B54,858
B550,859
B551,860
B552,861
B559,862
B560,863
B561,864
B569,865
B570,866
B571,867
B572,868
B5730,869
B5731,870
B5732,871
B5739,872
B5740,873
B5741,874
B5742,875
B5749,876
B575,877
B5800,878
B5801,879
B5809,880
B581,881
B582,882
B583,883
B5881,884
B5882,885
B5883,886
B5889,887
B589,888
B59,889
B6000,890
B6001,891
B6002,892
B6003,893
B6009,894
B6010,895
B6011,896
B6012,897
B6013,898
B6019,899
B602,900
B608,901
B64,902
B650,903
B651,904
B652,905
B653,906
B658,907
B659,908
B660,909
B661,910
B662,911
B663,912
B664,913
B665,914
B668,915
B669,916
B670,917
B671,918
B672,919
B6731,920
B6732,921
B6739,922
B674,923
B675,924
B6761,925
B6769,926
B677,927
B678,928
B6790,929
B6799,930
B680,931
B681,932
B689,933
B690,934
B691,935
B6981,936
B6989,937
B699,938
B700,939
B701,940
B710,941
B711,942
B718,943
B719,944
B72,945
B7300,946
B7301,947
B7302,948
B7309,949
B731,950
B740,951
B741,952
B742,953
B743,954
B744,955
B748,956
B749,957
B75,958
B760,959
B761,960
B768,961
B769,962
B770,963
B7781,964
B7789,965
B779,966
B780,967
B781,968
B787,969
B789,970
B79,971
B80,972
B810,973
B811,974
B812,975
B813,976
B814,977
B818,978
B820,979
B829,980
B830,981
B831,982
B832,983
B833,984
B834,985
B838,986
B839,987
B850,988
B851,989
B852,990
B853,991
B854,992
B86,993
B870,994
B871,995
B872,996
B873,997
B874,998
B8781,999
B8782,1000
B8789,1001
B879,1002
B880,1003
B881,1004
B882,1005
B883,1006
B888,1007
B889,1008
B89,1009
B900,1010
B901,1011
B902,1012
B908,1013
B909,1014
B91,1015
B92,1016
B940,1017
B941,1018
B942,1019
B948,1020
B949,1021
B950,1022
classified,1023
B951,1024
classified,1025
B952,1026
B953,1027
elsewhere,1028
B954,1029
elsewhere,1030
B955,1031
elsewhere,1032
B9561,1033
diseases,1034
B9562,1035
diseases,1036
B957,1037
elsewhere,1038
B958,1039
elsewhere,1040
B960,1041
diseases,1042
B961,1043
diseases,1044
B9620,1045
diseases,1046
B9621,1047
the,1048
B9622,1049
as,1050
B9623,1051
the,1052
B9629,1053
diseases,1054
B963,1055
diseases,1056
B964,1057
classified,1058
B965,1059
diseases,1060
B966,1061
diseases,1062
B967,1063
diseases,1064
B9681,1065
classified,1066
B9682,1067
B9689,1068
classified,1069
B970,1070
B9710,1071
B9711,1072
B9712,1073
B9719,1074
B9721,1075
B9729,1076
B9730,1077
B9731,1078
B9732,1079
B9733,1080
cause,1081
B9734,1082
cause,1083
B9735,1084
cause,1085
B9739,1086
B974,1087
classified,1088
B975,1089
B976,1090
B977,1091
B9781,1092
B9789,1093
elsewhere,1094
B998,1095
B999,1096
C000,1097
C001,1098
C002,1099
C003,1100
C004,1101
C005,1102
C006,1103
C008,1104
C009,1105
C01,1106
C020,1107
C021,1108
C022,1109
C023,1110
unspecified,1111
C024,1112
C028,1113
C029,1114
C030,1115
C031,1116
C039,1117
C040,1118
C041,1119
C048,1120
mouth,1121
C049,1122
C050,1123
C051,1124
C052,1125
C058,1126
C059,1127
C060,1128
C061,1129
C062,1130
C0680,1131
mouth,1132
C0689,1133
mouth,1134
C069,1135
C07,1136
C080,1137
C081,1138
C089,1139
C090,1140
C091,1141
C098,1142
C099,1143
C100,1144
C101,1145
C102,1146
C103,1147
C104,1148
C108,1149
C109,1150
C110,1151
C111,1152
C112,1153
C113,1154
C118,1155
C119,1156
C12,1157
C130,1158
C131,1159
C132,1160
C138,1161
C139,1162
C140,1163
C142,1164
C148,1165
cavity,1166
C153,1167
C154,1168
C155,1169
C158,1170
C159,1171
C160,1172
C161,1173
C162,1174
C163,1175
C164,1176
C165,1177
C166,1178
C168,1179
C169,1180
C170,1181
C171,1182
C172,1183
C173,1184
C178,1185
C179,1186
C180,1187
C181,1188
C182,1189
C183,1190
C184,1191
C185,1192
C186,1193
C187,1194
C188,1195
C189,1196
C19,1197
C20,1198
C210,1199
C211,1200
C212,1201
C218,1202
and,1203
C220,1204
C221,1205
C222,1206
C223,1207
C224,1208
C227,1209
C228,1210
type,1211
C229,1212
or,1213
C23,1214
C240,1215
C241,1216
C248,1217
C249,1218
C250,1219
C251,1220
C252,1221
C253,1222
C254,1223
C257,1224
C258,1225
C259,1226
C260,1227
C261,1228
C269,1229
system,1230
C300,1231
C301,1232
C310,1233
C311,1234
C312,1235
C313,1236
C318,1237
C319,1238
C320,1239
C321,1240
C322,1241
C323,1242
C328,1243
C329,1244
C33,1245
C3400,1246
C3401,1247
C3402,1248
C3410,1249
C3411,1250
C3412,1251
C342,1252
C3430,1253
C3431,1254
C3432,1255
C3480,1256
lung,1257
C3481,1258
lung,1259
C3482,1260
lung,1261
C3490,1262
lung,1263
C3491,1264
lung,1265
C3492,1266
lung,1267
C37,1268
C380,1269
C381,1270
C382,1271
C383,1272
C384,1273
C388,1274
and,1275
C390,1276
C399,1277
C4000,1278
upper,1279
C4001,1280
upper,1281
C4002,1282
upper,1283
C4010,1284
C4011,1285
C4012,1286
C4020,1287
C4021,1288
C4022,1289
C4030,1290
C4031,1291
C4032,1292
C4080,1293
cartilage,1294
C4081,1295
cartilage,1296
C4082,1297
cartilage,1298
C4090,1299
unspecified,1300
C4091,1301
right,1302
C4092,1303
left,1304
C410,1305
C411,1306
C412,1307
C413,1308
C414,1309
C419,1310
C430,1311
C4310,1312
C43111,1313
C43112,1314
C43121,1315
C43122,1316
C4320,1317
C4321,1318
C4322,1319
C4330,1320
C4331,1321
C4339,1322
C434,1323
C4351,1324
C4352,1325
C4359,1326
C4360,1327
C4361,1328
C4362,1329
C4370,1330
C4371,1331
C4372,1332
C438,1333
C439,1334
C4A0,1335
C4A10,1336
C4A111,1337
C4A112,1338
C4A121,1339
C4A122,1340
C4A20,1341
canal,1342
C4A21,1343
canal,1344
C4A22,1345
canal,1346
C4A30,1347
C4A31,1348
C4A39,1349
C4A4,1350
C4A51,1351
C4A52,1352
C4A59,1353
C4A60,1354
C4A61,1355
C4A62,1356
C4A70,1357
C4A71,1358
C4A72,1359
C4A8,1360
C4A9,1361
C4400,1362
C4401,1363
C4402,1364
C4409,1365
C44101,1366
C441021,1367
C441022,1368
C441091,1369
C441092,1370
C44111,1371
C441121,1372
C441122,1373
C441191,1374
C441192,1375
C44121,1376
C441221,1377
C441222,1378
C441291,1379
C441292,1380
C44131,1381
C441321,1382
C441322,1383
C441391,1384
C441392,1385
C44191,1386
canthus,1387
C441921,1388
canthus,1389
C441922,1390
canthus,1391
C441991,1392
canthus,1393
C441992,1394
canthus,1395
C44201,1396
auricular,1397
C44202,1398
auricular,1399
C44209,1400
auricular,1401
C44211,1402
auricular,1403
C44212,1404
auricular,1405
C44219,1406
auricular,1407
C44221,1408
auricular,1409
C44222,1410
auricular,1411
C44229,1412
auricular,1413
C44291,1414
external,1415
C44292,1416
external,1417
C44299,1418
external,1419
C44300,1420
C44301,1421
C44309,1422
C44310,1423
C44311,1424
C44319,1425
C44320,1426
C44321,1427
C44329,1428
C44390,1429
face,1430
C44391,1431
C44399,1432
face,1433
C4440,1434
C4441,1435
C4442,1436
C4449,1437
neck,1438
C44500,1439
C44501,1440
C44509,1441
C44510,1442
C44511,1443
C44519,1444
C44520,1445
C44521,1446
C44529,1447
C44590,1448
C44591,1449
C44599,1450
trunk,1451
C44601,1452
shoulder,1453
C44602,1454
shoulder,1455
